mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	pedal	decrescendo_hairpin	crescendo_hairpin
1	0	0	0	0.0	0	1/2	Tempo	3/4	1	1	0								Cantabile	187.0			1.0				
1	0	0	0	0.0	0	1/2	Tempo	3/4	1	1	0								𝅘𝅥=144	144.0	𝅘𝅥	144.0	1.0				
1	0	0	0	1.0	0	1/2	Chord	3/4	1	1	1/4		1/4	1	0									0			
2	1	1	1	0.0	0	0	Dynamic	3/4	1	1	0					p											
2	1	1	1	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	1									1			
2	1	3/2	3/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	2									1			
2	1	2	2	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	3									1			
2	1	3	3	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	4												
2	1	1	1	0.0	0	0	Spanner	3/4	2	1	0														0		
2	1	1	1	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	5										0		
2	1	2	2	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	6										0		
2	1	3	3	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	7										0		
3	2	4	4	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	8												
3	2	11/2	11/2	0.0	3/8	3/8	Spanner	3/4	1	1	0																0
3	2	11/2	11/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	9									2			0
3	2	6	6	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	10									2			0
3	2	13/2	13/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	11									2			0
3	2	4	4	0.0	0	0	Spanner	3/4	2	1	0																
3	2	4	4	0.0	0	0	Spanner	3/4	2	1	0														1		
3	2	4	4	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	12										1		
3	2	5	5	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	13										1		
3	2	6	6	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	14										1		
4	3	7	7	0.0	0	0	Spanner	3/4	1	1	0																
4	3	7	7	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	15									3			
4	3	15/2	15/2	0.0	1/8	1/8	Chord	3/4	1	1	0	acciaccatura	1/8	1	16									3			
4	3	15/2	15/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	17									3			
4	3	8	8	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	18									3			
4	3	9	9	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	19												
4	3	7	7	0.0	0	0	Spanner	3/4	2	1	0																
4	3	7	7	0.0	0	0	Spanner	3/4	2	1	0														2		
4	3	7	7	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	20										2		
4	3	8	8	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	21										2		
4	3	9	9	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	22										2		
5	4	10	10	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	23												
5	4	12	12	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	24												
5	4	25/2	25/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	25												
5	4	10	10	0.0	0	0	Spanner	3/4	2	1	0																
5	4	10	10	0.0	0	0	Spanner	3/4	2	1	0														3		
5	4	10	10	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	26										3		
5	4	11	11	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	27										3		
5	4	12	12	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	28										3		
6	5	13	13	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	29												
6	5	27/2	27/2	0.0	1/8	1/8	Chord	3/4	1	1	0	acciaccatura	1/8	1	30												
6	5	27/2	27/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	31												
6	5	14	14	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	32												
6	5	15	15	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	33												
6	5	13	13	0.0	0	0	Spanner	3/4	2	1	0																
6	5	14	14	0.0	1/4	1/4	Spanner	3/4	2	1	0														4		
6	5	14	14	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	34										4		
6	5	15	15	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	35										4		
7	6	16	16	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	36												
7	6	16	16	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	37									4			
7	6	33/2	33/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	38												
7	6	17	17	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	39												
7	6	18	18	0.0	1/2	1/2	Dynamic	3/4	1	1	0					sf											
7	6	18	18	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	40												
7	6	16	16	0.0	0	0	Spanner	3/4	2	1	0																
7	6	16	16	0.0	0	0	Spanner	3/4	2	1	0														5		
7	6	16	16	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	41										5		
7	6	17	17	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	42										5		
7	6	18	18	0.0	1/2	1/2	Spanner	3/4	2	1	0																
7	6	18	18	0.0	1/2	1/2	Spanner	3/4	2	1	0														6		
7	6	18	18	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	43										6		
8	7	19	19	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	44												
8	7	39/2	39/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	45												
8	7	20	20	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	46												
8	7	21	21	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	47												
8	7	19	19	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	48												
8	7	20	20	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	49												
8	7	21	21	0.0	1/2	1/2	Dynamic	3/4	1	2	0					sf											
8	7	21	21	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	50												
8	7	19	19	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	51										6		
8	7	20	20	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	52										6		
8	7	21	21	0.0	1/2	1/2	Spanner	3/4	2	1	0																
8	7	21	21	0.0	1/2	1/2	Spanner	3/4	2	1	0														7		
8	7	21	21	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	53										7		
9	8	22	22	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	54												
9	8	45/2	45/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	55												
9	8	23	23	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	56												
9	8	24	24	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	57												
9	8	22	22	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	58												
9	8	23	23	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	59												
9	8	24	24	0.0	1/2	1/2	Dynamic	3/4	1	2	0					f											
9	8	24	24	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	60												
9	8	22	22	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	61										7		
9	8	23	23	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	62										7		
9	8	24	24	0.0	1/2	1/2	Spanner	3/4	2	1	0																
9	8	24	24	0.0	1/2	1/2	Spanner	3/4	2	1	0														8		
9	8	24	24	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	63										8		
10	9	25	25	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	64												
10	9	51/2	51/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	65												
10	9	26	26	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	66												
10	9	27	27	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	67												
10	9	25	25	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	68												
10	9	25	25	0.0	0	0	Spanner	3/4	2	1	0																
10	9	25	25	0.0	0	0	Spanner	3/4	2	1	0														9		
10	9	25	25	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	69										9		
10	9	26	26	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	70										9		
10	9	27	27	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	71										9		
11	10	28	28	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	72												
11	10	59/2	59/2	0.0	3/8	3/8	Spanner	3/4	1	1	0																1
11	10	59/2	59/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	73									5			1
11	10	30	30	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	74									5			1
11	10	61/2	61/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	75									5			1
11	10	28	28	0.0	0	0	Spanner	3/4	2	1	0																
11	10	28	28	0.0	0	0	Spanner	3/4	2	1	0														10		
11	10	28	28	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	76										10		
11	10	29	29	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	77										10		
11	10	30	30	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	78										10		
12	11	31	31	0.0	0	0	Spanner	3/4	1	1	0																
12	11	31	31	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	79									6			
12	11	63/2	63/2	0.0	1/8	1/8	Chord	3/4	1	1	0	acciaccatura	1/8	1	80									6			
12	11	63/2	63/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	81									6			
12	11	32	32	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	82									6			
12	11	33	33	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	83												
12	11	31	31	0.0	0	0	Spanner	3/4	2	1	0																
12	11	31	31	0.0	0	0	Spanner	3/4	2	1	0														11		
12	11	31	31	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	84										11		
12	11	32	32	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	85										11		
12	11	33	33	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	86										11		
13	12	34	34	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	87												
13	12	36	36	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	88												
13	12	73/2	73/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	89												
13	12	34	34	0.0	0	0	Spanner	3/4	2	1	0																
13	12	34	34	0.0	0	0	Spanner	3/4	2	1	0														12		
13	12	34	34	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	90										12		
13	12	35	35	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	91										12		
13	12	36	36	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	92										12		
14	13	37	37	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	93									7			
14	13	75/2	75/2	0.0	1/8	1/8	Chord	3/4	1	1	0	acciaccatura	1/8	1	94									7			
14	13	75/2	75/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	95									7			
14	13	38	38	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	96									7			
14	13	39	39	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	97												
14	13	37	37	0.0	0	0	Spanner	3/4	2	1	0																
14	13	38	38	0.0	1/4	1/4	Spanner	3/4	2	1	0														13		
14	13	38	38	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	98										13		
14	13	39	39	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	99										13		
15	14	40	40	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	100												
15	14	41	41	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	101									8			
15	14	83/2	83/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	102									8			
15	14	42	42	0.0	1/2	1/2	Dynamic	3/4	1	1	0					f								8			
15	14	42	42	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	103									8			
15	14	85/2	85/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	104												
15	14	40	40	0.0	0	0	Spanner	3/4	2	1	0																
15	14	40	40	0.0	0	0	Spanner	3/4	2	1	0														14		
15	14	40	40	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	105										14		
15	14	41	41	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	106										14		
15	14	42	42	0.0	1/2	1/2	Spanner	3/4	2	1	0																
15	14	42	42	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	107												
16	15	43	43	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	108									9			
16	15	87/2	87/2	0.0	1/8	1/8	Spanner	3/4	1	1	0													9		0	
16	15	87/2	87/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	109									9		0	
16	15	44	44	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	110									9		0	
16	15	89/2	89/2	0.0	3/8	3/8	Chord	3/4	1	1	0	acciaccatura	1/8	1	111									9		0	
16	15	89/2	89/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	112									9		0	
16	15	45	45	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	113									9		0	
16	15	91/2	91/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	114											0	
16	15	43	43	0.0	0	0	Spanner	3/4	2	1	0														15		
16	15	44	44	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	115										15		
16	15	45	45	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	116										15		
16	15	43	43	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	117										15		
17	16	46	46	0.0	0	0	Spanner	3/4	1	1	0																
17	16	46	46	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	118									10			
17	16	93/2	93/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	119									10			
17	16	47	47	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	120												
17	16	46	46	0.0	0	0	Spanner	3/4	2	1	0																
17	16	46	46	0.0	0	0	Spanner	3/4	2	1	0														16		
17	16	46	46	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	121										16		
17	16	47	47	0.0	1/4	1/4	Spanner	3/4	2	1	0																
17	16	47	47	0.0	1/4	1/4	Spanner	3/4	2	1	0														17		
17	16	47	47	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	122										17		
17	16	48	48	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	123										17		
18	17	49	49	0.0	0	0	Dynamic	3/4	1	1	0					sf											
18	17	49	49	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	124												
18	17	49	49	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	125												
18	17	49	49	0.0	0	0	Spanner	3/4	2	1	0																
18	17	49	49	0.0	0	0	Spanner	3/4	2	1	0														18		
18	17	49	49	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	126										18		
18	17	50	50	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	127										18		
18	17	51	51	0.0	1/2	1/2	Spanner	3/4	2	1	0																
18	17	51	51	0.0	1/2	1/2	Spanner	3/4	2	1	0														19		
18	17	51	51	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	128										19		
19	18	52	52	0.0	0	0	Spanner	3/4	1	1	0															1	
19	18	52	52	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	129									11		1	
19	18	157/3	157/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	130									11		1	
19	18	158/3	158/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	131											1	
19	18	53	53	0.0	1/4	1/4	Spanner	3/4	1	1	0																
19	18	53	53	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	132												
19	18	54	54	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	133												
19	18	52	52	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	134										19		
19	18	53	53	0.0	1/4	1/4	Spanner	3/4	2	1	0																
19	18	53	53	0.0	1/4	1/4	Spanner	3/4	2	1	0														20		
19	18	53	53	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	135										20		
19	18	54	54	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	136										20		
19	18	52	52	0.3333333333333333	0	0	Chord	3/4	2	2	1/12		1/8	2/3	137										20		
19	18	157/3	157/3	0.3333333333333333	1/12	1/12	Chord	3/4	2	2	1/12		1/8	2/3	138										20		
19	18	158/3	158/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	2	1/12		1/8	2/3	139										20		
19	18	53	53	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	140										20		
19	18	52	52	1.0	0	0	Chord	3/4	2	3	1/4		1/4	1	141										20		
20	19	55	55	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	142												
20	19	55	55	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	143												
20	19	55	55	0.0	0	0	Spanner	3/4	2	1	0																
20	19	55	55	0.0	0	0	Spanner	3/4	2	1	0														21		
20	19	55	55	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	144										21		
20	19	56	56	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	145										21		
20	19	57	57	0.0	1/2	1/2	Spanner	3/4	2	1	0														22		
20	19	57	57	0.0	1/2	1/2	Spanner	3/4	2	1	0														22		
20	19	57	57	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	146										22		
21	20	58	58	0.0	0	0	Spanner	3/4	1	1	0															2	
21	20	58	58	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	147									12		2	
21	20	175/3	175/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	148									12		2	
21	20	176/3	176/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	149											2	
21	20	59	59	0.0	1/4	1/4	Spanner	3/4	1	1	0																
21	20	59	59	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	150												
21	20	60	60	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	151									13			
21	20	121/2	121/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	152									13			
21	20	58	58	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	153										22		
21	20	59	59	0.0	1/4	1/4	Spanner	3/4	2	1	0																
21	20	59	59	0.0	1/4	1/4	Spanner	3/4	2	1	0														23		
21	20	59	59	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	154										23		
21	20	60	60	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	155										23		
21	20	58	58	0.3333333333333333	0	0	Chord	3/4	2	2	1/12		1/8	2/3	156										23		
21	20	175/3	175/3	0.3333333333333333	1/12	1/12	Chord	3/4	2	2	1/12		1/8	2/3	157										23		
21	20	176/3	176/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	2	1/12		1/8	2/3	158										23		
21	20	59	59	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	159										23		
21	20	58	58	1.0	0	0	Chord	3/4	2	3	1/4		1/4	1	160										23		
22	21	61	61	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	161									13			
22	21	184/3	184/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	162									13			
22	21	185/3	185/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	163									13			
22	21	62	62	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	164												
22	21	63	63	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	165									14			
22	21	127/2	127/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	166									14			
22	21	61	61	0.0	0	0	Dynamic	3/4	1	2	0					pp											
22	21	61	61	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	167												
22	21	62	62	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	168												
22	21	63	63	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	169												
22	21	61	61	0.0	0	0	StaffText	3/4	2	1	0							e legatissimo									
22	21	61	61	0.0	0	0	Spanner	3/4	2	1	0																
22	21	61	61	0.0	0	0	Spanner	3/4	2	1	0														24		
22	21	61	61	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	170										24		
22	21	62	62	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	171										24		
22	21	63	63	0.0	1/2	1/2	Spanner	3/4	2	1	0																
22	21	63	63	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	172												
23	22	64	64	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	173									14			
23	22	193/3	193/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	174									14			
23	22	194/3	194/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	175									14			
23	22	65	65	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	176												
23	22	66	66	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	177									15			
23	22	64	64	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	178												
23	22	65	65	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	179												
23	22	66	66	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	180												
23	22	64	64	0.0	0	0	Spanner	3/4	2	1	0														25		
23	22	64	64	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	181										25		
23	22	65	65	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	182										25		
23	22	66	66	0.0	1/2	1/2	Spanner	3/4	2	1	0																
23	22	66	66	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	183												
24	23	67	67	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	184									15			
24	23	202/3	202/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	185									15			
24	23	203/3	203/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	186									15			
24	23	68	68	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	187												
24	23	69	69	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	188									16			
24	23	139/2	139/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	189									16			
24	23	67	67	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	190												
24	23	68	68	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	191												
24	23	69	69	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	192												
24	23	67	67	0.0	0	0	Spanner	3/4	2	1	0														26		
24	23	67	67	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	193										26		
24	23	68	68	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	194										26		
24	23	69	69	0.0	1/2	1/2	Spanner	3/4	2	1	0																
24	23	69	69	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	195												
25	24	70	70	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	196									16			
25	24	211/3	211/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	197									16			
25	24	212/3	212/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	198									16			
25	24	71	71	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	199												
25	24	72	72	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	200												
25	24	70	70	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	201												
25	24	71	71	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	202												
25	24	72	72	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	203												
