mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	system_text	tempo	qpm	tempo_visible	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	crescendo_hairpin	crescendo_line	diminuendo_line	HairPin:3_decresc.
52	49	145	145	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	388														
52	49	146	146	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	389								55						
52	49	293/2	293/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	390														
52	49	144	144	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	391														
52	49	145	145	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	392		articAccentBelow												
53	50	147	147	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	393														
53	50	148	148	0.0	1/4	1/4	StaffText	3/4	1	1	0							<i>sempre legato</i>											
53	50	148	148	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	394		articAccentAbove												
53	50	147	147	0.5	0	0	Chord	3/4	1	2	1/8		1/8	1	395														
53	50	295/2	295/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	396														
53	50	148	148	1.5	1/4	1/4	Chord	3/4	1	2	3/8		1/4	3/2	397														
53	50	299/2	299/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	398														
53	50	147	147	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	399														
53	50	148	148	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	400		articAccentBelow												
54	51	150	150	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	401														
54	51	151	151	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	402		articAccentAbove												
54	51	150	150	0.3333333333333333	0	0	Chord	3/4	1	2	1/12		1/8	2/3	403								56						
54	51	451/3	451/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	2	1/12		1/8	2/3	404								56						
54	51	452/3	452/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	2	1/12		1/8	2/3	405								56						
54	51	151	151	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	406								56						
54	51	152	152	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	407								56						
54	51	305/2	305/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	408														
54	51	150	150	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	409														
54	51	151	151	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	410		articAccentBelow												
55	52	153	153	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	411														
55	52	154	154	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	412		articAccentAbove												
55	52	153	153	0.3333333333333333	0	0	Chord	3/4	1	2	1/12		1/8	2/3	413														
55	52	460/3	460/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	2	1/12		1/8	2/3	414														
55	52	461/3	461/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	2	1/12		1/8	2/3	415														
55	52	154	154	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	416														
55	52	153	153	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	417														
55	52	154	154	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	418		articAccentBelow												
56	53	156	156	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	419		articAccentAbove												
56	53	157	157	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	420		articAccentAbove												
56	53	158	158	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	421		articAccentAbove												
56	53	156	156	0.3333333333333333	0	0	Chord	3/4	1	2	1/12		1/8	2/3	422								57						
56	53	469/3	469/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	2	1/12		1/8	2/3	423								57						
56	53	470/3	470/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	2	1/12		1/8	2/3	424								57						
56	53	157	157	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	425														
56	53	158	158	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	426								58						
56	53	317/2	317/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	427								58						
56	53	156	156	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	428														
56	53	157	157	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	429														
56	53	158	158	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	430														
57	54	159	159	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	431		articAccentAbove												
57	54	160	160	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	432		articAccentAbove												
57	54	161	161	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	433		articAccentAbove												
57	54	159	159	0.5	0	0	Chord	3/4	1	2	1/8		1/8	1	434								58						
57	54	319/2	319/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	435								58						
57	54	160	160	0.0	1/4	1/4	Chord	3/4	1	2	0	acciaccatura	1/8	1	436								58						
57	54	160	160	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	437								58						
57	54	321/2	321/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	438								58						
57	54	161	161	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	439								58						
57	54	323/2	323/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	440														
57	54	159	159	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	441														
57	54	160	160	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	442														
57	54	161	161	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	443														
58	55	162	162	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	444														
58	55	163	163	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	445														
58	55	164	164	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	446														
58	55	162	162	0.3333333333333333	0	0	Chord	3/4	1	2	1/12		1/8	2/3	447														
58	55	487/3	487/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	2	1/12		1/8	2/3	448														
58	55	488/3	488/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	2	1/12		1/8	2/3	449														
58	55	163	163	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	450														
58	55	164	164	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	451		articStaccatoBelow						59						
58	55	329/2	329/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	452		articStaccatoBelow												
58	55	162	162	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	453														
58	55	163	163	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	454														
58	55	164	164	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	455														
59	56	165	165	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	456		articStaccatoBelow						60						
59	56	496/3	496/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	457		articStaccatoBelow						60						
59	56	497/3	497/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	458		articStaccatoBelow												
59	56	166	166	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	459														
59	56	167	167	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	460		articAccentBelow						61						
59	56	165	165	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	461														
59	56	166	166	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	462														
60	57	168	168	0.0	0	0	Dynamic	3/4	1	1	0					p													
60	57	168	168	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	463														
60	57	675/4	675/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	464								62						
60	57	169	169	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	465								62						
60	57	341/2	341/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	466														
60	57	168	168	0.0	0	0	Spanner	3/4	2	1	0													27	27				
60	57	168	168	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	467									27	27				
60	57	169	169	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	468									27	27				
60	57	170	170	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	469									27	27				
61	58	171	171	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	470								63						
61	58	687/4	687/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	471								63						
61	58	172	172	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	472								63						
61	58	173	173	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	473								63						
61	58	171	171	0.0	0	0	Spanner	3/4	2	1	0																		
61	58	171	171	0.0	0	0	Spanner	3/4	2	1	0													28	28				
61	58	171	171	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	474									28	28				
61	58	172	172	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	475									28	28				
61	58	173	173	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	476									28	28				
62	59	174	174	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	477														
62	59	699/4	699/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	478								64						
62	59	175	175	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	479								64						
62	59	176	176	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	480		articAccentAbove												
62	59	174	174	0.0	0	0	Spanner	3/4	2	1	0																		
62	59	174	174	0.0	0	0	Spanner	3/4	2	1	0													29	29				
62	59	174	174	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	481									29	29				
62	59	175	175	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	482									29	29				
62	59	176	176	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	483									29	29				
63	60	177	177	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	484														
63	60	532/3	532/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	485														
63	60	533/3	533/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	486														
63	60	178	178	0.0	1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	487														
63	60	178	178	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	488														
63	60	359/2	359/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	489								65						
63	60	177	177	0.0	0	0	Spanner	3/4	2	1	0																		
63	60	177	177	0.0	0	0	Spanner	3/4	2	1	0													30	30				
63	60	177	177	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	490									30	30				
63	60	178	178	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	491		articAccentAbove							30	30				
64	61	180	180	0.0	0	0	Spanner	3/4	1	1	0																1		
64	61	180	180	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	492		articStaccatissimoAbove										1		
64	61	361/2	361/2	0.0	1/8	1/8	Spanner	3/4	1	1	0																		
64	61	723/4	723/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	493								66						
64	61	181	181	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	494								66						
64	61	365/2	365/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	495								66						
64	61	180	180	0.0	0	0	Spanner	3/4	2	1	0																		
64	61	180	180	0.0	0	0	Spanner	3/4	2	1	0													31	31				
64	61	180	180	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	496									31	31				
64	61	181	181	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	497									31	31				
64	61	182	182	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	498									31	31				
65	62	183	183	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	499								66						
65	62	735/4	735/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	500								66						
65	62	184	184	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	501														
65	62	185	185	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	502		ornamentTrill						67						
65	62	183	183	0.0	0	0	Spanner	3/4	2	1	0																		
65	62	183	183	0.0	0	0	Spanner	3/4	2	1	0													32	32				
65	62	183	183	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	503									32	32				
65	62	184	184	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	504									32	32				
65	62	185	185	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	505									32	32				
66	63	186	186	0.0	0	0	StaffText	3/4	1	1	0							con forza											
66	63	186	186	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	506														
66	63	747/4	747/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	507								68						
66	63	187	187	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	508														
66	63	188	188	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	509		articAccentBelow												
66	63	186	186	0.0	0	0	Spanner	3/4	2	1	0																		
66	63	186	186	0.0	0	0	Spanner	3/4	2	1	0													33	33				
66	63	186	186	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	510									33	33				
66	63	187	187	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	511									33	33				
66	63	188	188	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	512									33	33				
67	64	189	189	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	513														
67	64	189	189	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	514														
67	64	191	191	0.0	1/2	1/2	Dynamic	3/4	1	1	0					p													
67	64	191	191	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	515								69						
67	64	189	189	0.0	0	0	Spanner	3/4	2	1	0																		
67	64	189	189	0.0	0	0	Spanner	3/4	2	1	0													34	34				
67	64	189	189	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	516									34	34				
67	64	190	190	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	517									34	34				
68	65	192	192	0.0	0	0	StaffText	3/4	1	1	0							rubato					69						
68	65	192	192	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	518		articStaccatoAbove						69						
68	65	385/2	385/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	519		articStaccatoAbove						69						
68	65	193	193	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	520		articStaccatoAbove						69						
68	65	194	194	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	521		articStaccatoAbove						69						
68	65	192	192	0.0	0	0	Spanner	3/4	2	1	0																		
68	65	192	192	0.0	0	0	Spanner	3/4	2	1	0													35	35				
68	65	192	192	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	522									35	35				
68	65	193	193	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	523									35	35				
68	65	194	194	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	524									35	35				
69	66	195	195	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	525		articStaccatoAbove						69						
69	66	391/2	391/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	526		articStaccatoAbove						69						
69	66	196	196	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	527		articStaccatoAbove						69						
69	66	197	197	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	528		articStaccatoAbove												
69	66	195	195	0.0	0	0	Spanner	3/4	2	1	0																		
69	66	195	195	0.0	0	0	Spanner	3/4	2	1	0													36	36				
69	66	195	195	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	529									36	36				
69	66	196	196	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	530									36	36				
69	66	197	197	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	531									36	36				
70	67	198	198	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	532														
70	67	595/3	595/3	0.0	1/12	1/12	Chord	3/4	1	1	0	acciaccatura	1/8	2/3	533														
70	67	595/3	595/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	534														
70	67	1193/6	1193/6	0.16666666666666666	5/24	5/24	Chord	3/4	1	1	1/24		1/16	2/3	535														
70	67	199	199	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	536														
70	67	200	200	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	537		articAccentAbove												
70	67	198	198	0.0	0	0	Spanner	3/4	2	1	0																		
70	67	198	198	0.0	0	0	Spanner	3/4	2	1	0													37	37				
70	67	198	198	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	538									37	37				
70	67	199	199	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	539									37	37				
70	67	200	200	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	540									37	37				
71	68	201	201	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	2/3	541														
71	68	201	201	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	542														
71	68	604/3	604/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	543														
71	68	605/3	605/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	544														
71	68	202	202	0.0	1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	545														
71	68	202	202	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	546														
71	68	407/2	407/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	547														
71	68	201	201	0.0	0	0	Spanner	3/4	2	1	0																		
71	68	201	201	0.0	0	0	Spanner	3/4	2	1	0													38	38				
71	68	201	201	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	548									38	38				
71	68	202	202	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	549									38	38				
72	69	204	204	0.0	0	0	Dynamic	3/4	1	1	0					f													
72	69	204	204	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	550		articStaccatoAbove						70						
72	69	819/4	819/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	551		articStaccatoAbove						70						
72	69	205	205	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	552		articStaccatoAbove						70						
72	69	206	206	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	553		articStaccatoAbove						70						
72	69	204	204	0.0	0	0	Spanner	3/4	2	1	0																		
72	69	204	204	0.0	0	0	Spanner	3/4	2	1	0													39	39				
72	69	204	204	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	554									39	39				
72	69	205	205	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	555									39	39				
72	69	206	206	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	556									39	39				
73	70	207	207	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	557		articStaccatoAbove						70						
73	70	831/4	831/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	558		articStaccatoAbove						70						
73	70	208	208	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	559														
73	70	209	209	0.0	1/2	1/2	StaffText	3/4	1	1	0							" <font face=""ScoreText""/>"											
73	70	209	209	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	560		articAccentBelow						71						
73	70	207	207	0.0	0	0	Spanner	3/4	2	1	0																		
73	70	207	207	0.0	0	0	Spanner	3/4	2	1	0													40	40				
73	70	207	207	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	561									40	40				
73	70	208	208	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	562									40	40				
74	71	210	210	0.0	0	0	StaffText	3/4	1	1	0							con forza											
74	71	210	210	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	563														
74	71	843/4	843/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	564								72						
74	71	211	211	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	565														
74	71	212	212	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	566		articAccentBelow												
74	71	210	210	0.0	0	0	Spanner	3/4	2	1	0																		
74	71	210	210	0.0	0	0	Spanner	3/4	2	1	0													41	41				
74	71	210	210	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	567									41	41				
74	71	211	211	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	568									41	41				
74	71	212	212	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	569									41	41				
75	72	213	213	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	570														
75	72	213	213	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	571		articAccentBelow												
75	72	213	213	0.0	0	0	Spanner	3/4	2	1	0																		
75	72	213	213	0.0	0	0	Spanner	3/4	2	1	0													42	42				
75	72	213	213	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	572									42	42				
75	72	214	214	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	573									42	42				
75	72	216	216	0.0	3/4	3/4	Spanner	3/4	2	1	0																		
