mc	mn	quarterbeats	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0.0		0	0	3/4	1	1	0	acciaccatura	1/8	1		-1	65	F4	4	0
1	1	0	1.0		0	0	3/4	2	1	1/4		1/4	1		-2	46	Bb2	2	5
1	1	0	0.5		0	0	3/4	1	1	1/8		1/8	1		2	74	D5	5	1
1	1	3/4	0.25		3/16	3/16	3/4	1	1	1/16		1/16	1		2	74	D5	5	2
1	1	1	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		-1	53	F3	3	6
1	1	1	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		-2	58	Bb3	3	6
1	1	1	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		2	62	D4	4	6
1	1	1	1.0		1/4	1/4	3/4	1	1	1/4		1/4	1		-2	70	Bb4	4	3
1	1	2	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		-1	53	F3	3	7
1	1	2	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		-2	58	Bb3	3	7
1	1	2	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		7	61	C#4	4	7
1	1	2	1.0		1/2	1/2	3/4	1	1	1/4		1/4	1		7	73	C#5	5	4
2	2	3	1.0		0	0	3/4	2	1	1/4		1/4	1		-1	53	F3	3	12
2	2	3	1.0		0	0	3/4	2	1	1/4		1/4	1		-2	58	Bb3	3	12
2	2	3	1.0		0	0	3/4	2	1	1/4		1/4	1		2	62	D4	4	12
2	2	3	1.0		0	0	3/4	1	1	1/4		1/4	1		2	74	D5	5	8
2	2	4	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		-1	53	F3	3	13
2	2	4	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		-2	58	Bb3	3	13
2	2	4	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		4	64	E4	4	13
2	2	4	0.5		1/4	1/4	3/4	1	1	1/8		1/8	1		0	72	C5	5	9
2	2	9/2	0.5		3/8	3/8	3/4	1	1	1/8		1/8	1		4	76	E5	5	10
2	2	5	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		-1	53	F3	3	14
2	2	5	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		-2	58	Bb3	3	14
2	2	5	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		4	64	E4	4	14
2	2	5	1.0		1/2	1/2	3/4	1	1	1/4		1/4	1		1	79	G5	5	11
3	3	6	1.0		0	0	3/4	2	1	1/4		1/4	1		-1	53	F3	3	19
3	3	6	1.0		0	0	3/4	2	1	1/4		1/4	1		3	57	A3	3	19
3	3	6	1.0		0	0	3/4	2	1	1/4		1/4	1		-1	65	F4	4	19
3	3	6	0.5		0	0	3/4	1	1	1/8		1/8	1		-1	77	F5	5	15
3	3	27/4	0.25		3/16	3/16	3/4	1	1	1/16		1/16	1		-1	77	F5	5	16
3	3	7	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		-1	53	F3	3	20
3	3	7	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		3	57	A3	3	20
3	3	7	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		-3	63	Eb4	4	20
3	3	7	1.0		1/4	1/4	3/4	1	1	1/4		1/4	1		0	72	C5	5	17
3	3	8	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		-1	53	F3	3	21
3	3	8	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		3	57	A3	3	21
3	3	8	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		-3	63	Eb4	4	21
3	3	8	1.0		1/2	1/2	3/4	1	1	1/4		1/4	1		-3	75	Eb5	5	18
4	4	9	1.0		0	0	3/4	2	1	1/4		1/4	1		-1	41	F2	2	26
4	4	9	1.0		0	0	3/4	1	1	1/4		1/4	1		2	74	D5	5	22
4	4	10	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		-1	53	F3	3	27
4	4	10	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		0	60	C4	4	27
4	4	10	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		-3	63	Eb4	4	27
4	4	10	0.5		1/4	1/4	3/4	1	1	1/8		1/8	1		0	72	C5	5	23
4	4	21/2	0.5		3/8	3/8	3/4	1	1	1/8		1/8	1		3	69	A4	4	24
4	4	11	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		-1	53	F3	3	28
4	4	11	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		0	60	C4	4	28
4	4	11	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		-3	63	Eb4	4	28
4	4	11	1.0		1/2	1/2	3/4	1	1	1/4		1/4	1		-1	65	F4	4	25
5	5	12	0.0		0	0	3/4	1	1	0	acciaccatura	1/8	1		-1	65	F4	4	29
5	5	12	1.0		0	0	3/4	2	1	1/4		1/4	1		-2	46	Bb2	2	34
5	5	12	0.5		0	0	3/4	1	1	1/8		1/8	1		2	74	D5	5	30
5	5	51/4	0.25		3/16	3/16	3/4	1	1	1/16		1/16	1		2	74	D5	5	31
5	5	13	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		-1	53	F3	3	35
5	5	13	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		-2	58	Bb3	3	35
5	5	13	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		2	62	D4	4	35
5	5	13	1.0		1/4	1/4	3/4	1	1	1/4		1/4	1		-2	70	Bb4	4	32
5	5	14	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		-1	53	F3	3	36
5	5	14	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		-2	58	Bb3	3	36
5	5	14	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		7	61	C#4	4	36
5	5	14	1.0		1/2	1/2	3/4	1	1	1/4		1/4	1		7	73	C#5	5	33
6	6	15	1.0		0	0	3/4	2	1	1/4		1/4	1		-1	53	F3	3	41
6	6	15	1.0		0	0	3/4	2	1	1/4		1/4	1		-2	58	Bb3	3	41
6	6	15	1.0		0	0	3/4	2	1	1/4		1/4	1		2	62	D4	4	41
6	6	15	1.0		0	0	3/4	1	1	1/4		1/4	1		2	74	D5	5	37
6	6	16	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		-1	53	F3	3	42
6	6	16	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		-2	58	Bb3	3	42
6	6	16	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		4	64	E4	4	42
6	6	16	0.5		1/4	1/4	3/4	1	1	1/8		1/8	1		0	72	C5	5	38
6	6	33/2	0.5		3/8	3/8	3/4	1	1	1/8		1/8	1		4	76	E5	5	39
6	6	17	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		-1	53	F3	3	43
6	6	17	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		-2	58	Bb3	3	43
6	6	17	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		4	64	E4	4	43
6	6	17	1.0		1/2	1/2	3/4	1	1	1/4		1/4	1		1	79	G5	5	40
7	7	18	1.0		0	0	3/4	2	1	1/4		1/4	1		-1	53	F3	3	48
7	7	18	1.0		0	0	3/4	2	1	1/4		1/4	1		3	57	A3	3	48
7	7	18	1.0		0	0	3/4	2	1	1/4		1/4	1		-1	65	F4	4	48
7	7	18	0.5		0	0	3/4	1	1	1/8		1/8	1		-1	77	F5	5	44
7	7	75/4	0.25		3/16	3/16	3/4	1	1	1/16		1/16	1		-1	77	F5	5	45
7	7	19	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		-1	53	F3	3	49
7	7	19	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		3	57	A3	3	49
7	7	19	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		-3	63	Eb4	4	49
7	7	19	1.0		1/4	1/4	3/4	1	1	1/4		1/4	1		0	72	C5	5	46
7	7	20	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		-1	53	F3	3	50
7	7	20	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		3	57	A3	3	50
7	7	20	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		-3	63	Eb4	4	50
7	7	20	1.0		1/2	1/2	3/4	1	1	1/4		1/4	1		-3	75	Eb5	5	47
8	8	21	1.0		0	0	3/4	2	1	1/4		1/4	1		-1	41	F2	2	55
8	8	21	1.0		0	0	3/4	1	1	1/4		1/4	1		2	74	D5	5	51
8	8	22	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		-1	53	F3	3	56
8	8	22	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		0	60	C4	4	56
8	8	22	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		-3	63	Eb4	4	56
8	8	22	0.5		1/4	1/4	3/4	1	1	1/8		1/8	1		0	72	C5	5	52
8	8	45/2	0.5		3/8	3/8	3/4	1	1	1/8		1/8	1		3	69	A4	4	53
8	8	23	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		-1	53	F3	3	57
8	8	23	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		0	60	C4	4	57
8	8	23	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		-3	63	Eb4	4	57
8	8	23	1.0		1/2	1/2	3/4	1	1	1/4		1/4	1		-1	65	F4	4	54
9	9	24	1.0		0	0	3/4	2	1	1/4		1/4	1		-2	46	Bb2	2	63
9	9	24	0.3333333333333333		0	0	3/4	1	1	1/12		1/8	2/3		-1	65	F4	4	58
9	9	73/3	0.3333333333333333		1/12	1/12	3/4	1	1	1/12		1/8	2/3		1	67	G4	4	59
9	9	74/3	0.3333333333333333		1/6	1/6	3/4	1	1	1/12		1/8	2/3		3	69	A4	4	60
9	9	25	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		-1	53	F3	3	64
9	9	25	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		-2	58	Bb3	3	64
9	9	25	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		2	62	D4	4	64
9	9	25	1.0		1/4	1/4	3/4	1	1	1/4		1/4	1		-2	70	Bb4	4	61
9	9	26	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		-1	53	F3	3	65
9	9	26	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		-4	56	Ab3	3	65
9	9	26	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		2	62	D4	4	65
9	9	26	1.0		1/2	1/2	3/4	1	1	1/4		1/4	1		5	71	B4	4	62
10	10	27	1.0		0	0	3/4	2	1	1/4		1/4	1		-3	39	Eb2	2	70
10	10	27	0.5		0	0	3/4	1	1	1/8		1/8	1		0	72	C5	5	66
10	10	55/2	0.5		1/8	1/8	3/4	1	1	1/8		1/8	1		2	74	D5	5	67
10	10	28	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		-3	51	Eb3	3	71
10	10	28	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		1	55	G3	3	71
10	10	28	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		0	60	C4	4	71
10	10	28	1.5		1/4	1/4	3/4	1	1	3/8		1/4	3/2		-3	75	Eb5	5	68
10	10	29	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		-3	51	Eb3	3	72
10	10	29	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		-6	54	Gb3	3	72
10	10	29	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		0	60	C4	4	72
10	10	59/2	0.5		5/8	5/8	3/4	1	1	1/8		1/8	1		-2	70	Bb4	4	69
11	11	30	1.0		0	0	3/4	2	1	1/4		1/4	1		-1	41	F2	2	79
11	11	30	0.5		0	0	3/4	1	1	1/8		1/8	1		3	69	A4	4	73
11	11	123/4	0.25		3/16	3/16	3/4	1	1	1/16		1/16	1		1	79	G5	5	74
11	11	31	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		-1	53	F3	3	80
11	11	31	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		0	60	C4	4	80
11	11	31	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		-3	63	Eb4	4	80
11	11	31	0.5		1/4	1/4	3/4	1	1	1/8		1/8	1		-1	77	F5	5	75
11	11	63/2	0.5		3/8	3/8	3/4	1	1	1/8		1/8	1		2	74	D5	5	76
11	11	32	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		-1	53	F3	3	81
11	11	32	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		0	60	C4	4	81
11	11	32	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		-3	63	Eb4	4	81
11	11	32	0.5		1/2	1/2	3/4	1	1	1/8		1/8	1		-3	75	Eb5	5	77
11	11	65/2	0.5		5/8	5/8	3/4	1	1	1/8		1/8	1		3	69	A4	4	78
12	12	33	1.0		0	0	3/4	2	1	1/4		1/4	1		-2	46	Bb2	2	87
12	12	33	0.3333333333333333		0	0	3/4	1	1	1/12		1/8	2/3		-2	70	Bb4	4	82
12	12	100/3	0.3333333333333333		1/12	1/12	3/4	1	1	1/12		1/8	2/3		0	72	C5	5	83
12	12	101/3	0.3333333333333333		1/6	1/6	3/4	1	1	1/12		1/8	2/3		2	74	D5	5	84
12	12	34	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		-1	53	F3	3	88
12	12	34	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		0	60	C4	4	88
12	12	34	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		-3	63	Eb4	4	88
12	12	34	1.5		1/4	1/4	3/4	1	1	3/8		1/4	3/2		0	72	C5	5	85
12	12	35	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		-1	53	F3	3	89
12	12	35	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		0	60	C4	4	89
12	12	35	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		-3	63	Eb4	4	89
12	12	71/2	0.5		5/8	5/8	3/4	1	1	1/8		1/8	1		1	67	G4	4	86
13	13	36	1.0		0	0	3/4	2	1	1/4		1/4	1		-2	46	Bb2	2	95
13	13	36	0.3333333333333333		0	0	3/4	1	1	1/12		1/8	2/3		-1	65	F4	4	90
13	13	109/3	0.3333333333333333		1/12	1/12	3/4	1	1	1/12		1/8	2/3		1	67	G4	4	91
13	13	110/3	0.3333333333333333		1/6	1/6	3/4	1	1	1/12		1/8	2/3		3	69	A4	4	92
13	13	37	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		-1	53	F3	3	96
13	13	37	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		-2	58	Bb3	3	96
13	13	37	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		2	62	D4	4	96
13	13	37	1.0		1/4	1/4	3/4	1	1	1/4		1/4	1		-2	70	Bb4	4	93
13	13	38	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		-1	53	F3	3	97
13	13	38	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		-4	56	Ab3	3	97
13	13	38	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		2	62	D4	4	97
13	13	38	1.0		1/2	1/2	3/4	1	1	1/4		1/4	1		5	71	B4	4	94
14	14	39	1.0		0	0	3/4	2	1	1/4		1/4	1		-3	39	Eb2	2	102
14	14	39	0.5		0	0	3/4	1	1	1/8		1/8	1		0	72	C5	5	98
14	14	79/2	0.5		1/8	1/8	3/4	1	1	1/8		1/8	1		2	74	D5	5	99
14	14	40	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		-3	51	Eb3	3	103
14	14	40	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		1	55	G3	3	103
14	14	40	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		0	60	C4	4	103
14	14	40	1.5		1/4	1/4	3/4	1	1	3/8		1/4	3/2		-3	75	Eb5	5	100
14	14	41	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		-3	51	Eb3	3	104
14	14	41	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		-6	54	Gb3	3	104
14	14	41	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		0	60	C4	4	104
14	14	83/2	0.5		5/8	5/8	3/4	1	1	1/8		1/8	1		-2	70	Bb4	4	101
15	15	42	1.0		0	0	3/4	2	1	1/4		1/4	1		-1	41	F2	2	111
15	15	42	0.5		0	0	3/4	1	1	1/8		1/8	1		3	69	A4	4	105
15	15	171/4	0.25		3/16	3/16	3/4	1	1	1/16		1/16	1		1	79	G5	5	106
15	15	43	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		-1	53	F3	3	112
15	15	43	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		0	60	C4	4	112
15	15	43	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		-3	63	Eb4	4	112
15	15	43	0.5		1/4	1/4	3/4	1	1	1/8		1/8	1		-1	77	F5	5	107
15	15	87/2	0.5		3/8	3/8	3/4	1	1	1/8		1/8	1		2	74	D5	5	108
15	15	44	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		-1	53	F3	3	113
15	15	44	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		0	60	C4	4	113
15	15	44	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		-3	63	Eb4	4	113
15	15	44	0.5		1/2	1/2	3/4	1	1	1/8		1/8	1		-3	75	Eb5	5	109
15	15	89/2	0.5		5/8	5/8	3/4	1	1	1/8		1/8	1		3	69	A4	4	110
16	16		1.0	1	0	0	3/4	2	1	1/4		1/4	1		-2	46	Bb2	2	119
16	16		0.3333333333333333	1	0	0	3/4	1	1	1/12		1/8	2/3		-2	70	Bb4	4	114
16	16		0.3333333333333333	1	1/12	1/12	3/4	1	1	1/12		1/8	2/3		-2	70	Bb4	4	115
16	16		0.3333333333333333	1	1/6	1/6	3/4	1	1	1/12		1/8	2/3		-2	70	Bb4	4	116
